Timestamp,X Coord 7,X Coord 6,X Coord 5,X Coord 4,X Coord 3,X Coord 2,X Coord 1,X Coord 0,Y Coord 7,Y Coord 6,Y Coord 5,Y Coord 4,Y Coord 3,Y Coord 2,Y Coord 1,Y Coord 0
7231649,2.2059937,2.2272034,2.2160492,2.2082214,2.2396545,2.2353668,2.217682,2.2361298,281.12436,271.85422,292.43948,288.28058,271.72293,272.47354,295.77478,276.54135
7231856,2.205902,2.2272186,2.2160797,2.208191,2.2396088,2.2353668,2.217682,2.2361755,281.07748,271.86108,292.36026,288.232,271.75537,272.56204,295.72226,276.52457
7232270,2.205902,2.2272186,2.216095,2.2080994,2.2395935,2.2353058,2.2176666,2.2360077,281.10715,271.73242,292.5217,288.22256,271.9153,272.45398,295.81436,276.75836
7232478,2.2059479,2.227188,2.2160797,2.208023,2.2395172,2.235321,2.217636,2.2361145,280.8984,271.86957,292.2821,288.21286,271.82687,272.22107,296.03427,276.76352
7232685,2.2059937,2.2272034,2.216156,2.2079315,2.2394714,2.2352905,2.2176208,2.2360992,281.09348,271.66608,292.51315,288.0598,271.5785,272.47696,295.78085,276.83612
7232892,2.2059937,2.2272644,2.2161255,2.2080078,2.2394714,2.235321,2.2176514,2.2361755,281.01212,271.9129,292.38773,288.15295,271.90768,272.6151,295.86176,276.58292
7233099,2.2059479,2.2271576,2.2162018,2.2079773,2.2395782,2.23526,2.2177124,2.2362823,281.03467,271.87726,292.296,288.3352,271.88583,272.58096,295.95947,276.9489
7233306,2.205902,2.2271423,2.216278,2.2079163,2.239502,2.2352142,2.2177124,2.2362518,280.99463,271.85938,292.50766,288.4165,271.68842,272.67398,295.89746,276.3236
7233513,2.2059479,2.2270355,2.2162933,2.20784,2.239624,2.2352142,2.217682,2.2362366,280.91754,271.5287,291.87857,288.1772,271.81433,272.4524,295.68472,276.89792
7233927,2.2059631,2.2270813,2.216217,2.2077942,2.2396393,2.2352142,2.217636,2.2362366,281.09262,271.82584,292.34796,288.09775,271.83295,272.62637,295.67496,276.82172
7234135,2.2059631,2.2270203,2.216278,2.2077942,2.2396545,2.2352448,2.2176208,2.2362213,281.12683,271.80325,292.42682,287.93597,271.82584,272.35657,295.91827,277.1402
7234342,2.2059631,2.2269897,2.216278,2.2077332,2.2395477,2.2352142,2.217575,2.236206,280.87698,271.7972,292.61343,288.3822,271.72595,272.75433,295.9251,277.03714
7234549,2.2061005,2.2269897,2.216278,2.2077332,2.239563,2.2352142,2.217682,2.2360077,281.01495,271.89325,292.3854,288.35974,271.9676,272.41144,295.90442,277.04117
7234757,2.206009,2.2269897,2.216217,2.2077637,2.2394104,2.2351685,2.2176514,2.2359467,281.09583,271.8131,292.4229,288.4214,271.8738,272.6411,295.68106,276.83435
7234964,2.206009,2.2270355,2.2161865,2.2077484,2.2394562,2.2351685,2.2176514,2.2357788,280.95035,271.5313,292.34827,288.17868,271.8607,272.3294,295.84207,276.53326
7235171,2.206009,2.227066,2.2161407,2.20784,2.2394867,2.2351685,2.217636,2.2357483,281.0875,271.78543,292.20053,288.26944,271.91376,272.51297,295.69232,277.11502
7235585,2.206009,2.2271118,2.216095,2.2078552,2.2395325,2.2351837,2.2175903,2.235962,281.1949,271.8053,292.1436,288.15308,271.80344,272.73892,295.733,276.50174
7235792,2.2060242,2.2271118,2.216095,2.2078552,2.239563,2.2352142,2.2175598,2.2360382,280.99365,271.79333,292.27173,288.20004,271.80258,272.55914,295.6295,276.75186
7236000,2.2059479,2.2270203,2.2161407,2.20784,2.2395782,2.2352142,2.2174988,2.2360687,280.79565,271.89517,292.32843,288.1901,271.88376,272.48767,295.68317,276.56427
7236207,2.205902,2.2270508,2.216095,2.20784,2.2396088,2.2351685,2.2174988,2.2360687,281.03268,271.82166,292.30264,288.2448,271.7066,272.3379,295.73312,276.85928
7236414,2.2058868,2.2270508,2.216095,2.2077637,2.2395935,2.235199,2.2175598,2.2360687,281.12088,271.67114,292.3418,288.16312,271.7871,272.3358,295.72333,276.66376
7236621,2.2058868,2.2270203,2.2160797,2.2078247,2.2396393,2.235138,2.2175598,2.2361145,281.08078,271.6088,292.39798,288.0635,271.72137,272.40842,295.67862,276.73386
7236828,2.2059631,2.2270813,2.216095,2.2078705,2.2395935,2.2350922,2.2175598,2.236023,280.8962,271.59866,292.29593,288.19995,271.91318,272.42792,295.65482,276.8164
7237243,2.2059631,2.2270813,2.2161255,2.20784,2.2395325,2.235077,2.2175903,2.236084,281.04413,271.70514,292.32083,288.001,271.8,272.57892,295.72543,276.55997
7237450,2.2059174,2.2269592,2.2162018,2.20784,2.2395477,2.235077,2.2175293,2.2360382,281.0436,271.85562,292.479,288.24066,271.66144,272.36887,295.8697,276.75827
7237657,2.2058258,2.226883,2.2161407,2.207901,2.2394714,2.2350006,2.217514,2.2360382,281.16245,271.90714,292.38367,288.15063,271.87643,272.53235,295.84583,276.8251
7237864,2.2058563,2.2268677,2.2161713,2.2079468,2.2394104,2.2350006,2.217514,2.236023,281.10254,271.84967,292.3289,288.2057,271.96216,272.59796,295.76947,277.00922
7238071,2.2058716,2.2267914,2.2162018,2.207962,2.239441,2.2350311,2.2175293,2.2361755,280.9216,271.70218,292.28775,288.12302,271.72217,272.35205,295.9873,277.00906
7238279,2.2058868,2.226822,2.216217,2.207962,2.2394867,2.2350922,2.2174683,2.2361755,280.92868,271.69196,292.3123,288.15857,271.5545,272.4776,295.9065,276.8544
7238693,2.20578,2.226822,2.2161407,2.207962,2.2395477,2.235138,2.2173767,2.2357635,280.70737,271.54153,292.38806,288.2109,271.87866,272.45236,295.60794,276.68402
7238900,2.20578,2.2268372,2.2161102,2.207962,2.2395782,2.235138,2.2173767,2.2355957,280.87558,271.84387,292.48224,288.33548,271.67505,272.61978,295.74777,276.82135
7239107,2.2057648,2.2268066,2.216095,2.207962,2.2394867,2.2351227,2.2173615,2.2356567,280.84875,271.80865,292.3133,288.20612,271.90836,272.5099,295.65936,277.4632
7239314,2.2057953,2.226822,2.216095,2.207962,2.2395782,2.2350922,2.2174225,2.2355347,280.9749,271.83893,292.55835,288.26038,271.74042,272.6285,295.83365,276.74597
7239522,2.20578,2.2268524,2.2160645,2.2079163,2.2395172,2.235138,2.217453,2.2355957,281.1375,271.8448,292.51706,288.23712,271.83954,272.7001,295.76788,276.5981
7239729,2.20578,2.226883,2.2160645,2.207962,2.2394714,2.2350922,2.2174683,2.235672,281.05972,272.01968,292.55865,288.13324,271.89127,272.37518,295.87833,276.95395
7239936,2.2057495,2.2269745,2.2160645,2.207901,2.2395325,2.2350922,2.2174683,2.2358398,281.01447,271.8879,292.47113,288.26944,271.90945,272.57272,295.95694,276.99884
7240350,2.2057953,2.2269135,2.2161255,2.2078857,2.2395935,2.2350159,2.2174988,2.235962,281.0775,271.85638,292.44077,288.13492,271.84784,272.5618,295.7428,276.866
7240557,2.20578,2.2269135,2.2161713,2.2078552,2.2396393,2.2350464,2.217514,2.2357635,280.94574,271.75357,292.21674,288.04657,271.6047,272.46466,295.75928,276.73376
7240765,2.2057953,2.226883,2.216156,2.20784,2.2395782,2.2350464,2.2174683,2.2357788,280.947,271.79456,292.32193,288.2954,271.77493,272.46417,295.88058,276.4836
7240972,2.2057648,2.226883,2.2160797,2.2078094,2.239502,2.2350616,2.2174683,2.2357788,281.0026,271.69604,292.44678,288.1953,271.6545,272.65182,295.75073,276.92377
7241179,2.2057495,2.2268524,2.216095,2.207718,2.2394714,2.2350311,2.2173767,2.2358704,280.80667,271.72522,292.32422,288.35593,271.93158,272.54932,295.7312,276.7414
7241386,2.2057953,2.2269135,2.2160645,2.2077637,2.2394714,2.2350616,2.2173767,2.2357178,280.94464,271.981,292.46793,288.2296,271.95544,272.3746,295.70453,277.01584
7241593,2.2057343,2.2269135,2.216034,2.207779,2.2395782,2.2350616,2.2174225,2.235855,280.8755,271.95117,292.27817,288.14035,271.69998,272.41714,295.7201,276.71658
7241800,2.2057648,2.2268982,2.216034,2.2077637,2.2395477,2.2350616,2.2175293,2.235733,281.0844,271.81464,292.33417,288.1534,271.72168,272.4118,295.88098,276.8952
7242215,2.20578,2.2269745,2.2160034,2.20784,2.2395477,2.2350464,2.2175903,2.2356415,281.01398,271.7859,292.49332,288.20227,271.67407,272.4726,295.82452,276.31372
7242422,2.2058563,2.2269135,2.216034,2.2078094,2.2395935,2.2350159,2.2175903,2.2358246,280.92798,271.88565,292.34537,288.12943,271.834,272.41156,295.92862,276.86624
7242629,2.2059326,2.2269287,2.2160645,2.207901,2.239563,2.2349854,2.2176208,2.2359467,280.96384,271.7207,292.36258,288.03674,271.69235,272.44394,295.79404,276.58838
7242836,2.205841,2.2269287,2.2160645,2.2078247,2.2395477,2.2350311,2.2175598,2.2362518,281.07724,271.91284,292.5385,288.2031,271.81863,272.37744,295.60327,276.2707
7243044,2.205841,2.227005,2.2160797,2.2078247,2.239502,2.2350311,2.217514,2.2360992,281.05234,271.88016,292.49,288.2552,271.84653,272.25693,295.75897,276.79483
7243251,2.205841,2.227005,2.2161255,2.2078705,2.239441,2.2350464,2.217514,2.2360535,280.91556,271.6652,292.5981,288.22717,271.7623,272.34842,295.86575,276.60727
7243458,2.2058868,2.2268982,2.2160797,2.2078094,2.2395172,2.2351074,2.2175293,2.235855,281.0366,271.81284,292.39645,288.09653,271.61707,272.53397,295.95673,276.87704
